Name;                               Version;            Build;                  Channel;    License;                                                                    Latest license check
traitlets;                          5.0.5;              pypi_0;                 pypi;       BSD License;                                                                2021-07-26
typing-extensions;                  3.10.0.0;           pypi_0;                 pypi;       Python Software Foundation License;                                         2021-07-26
tzdata;                             2021a;              h52ac0ba_0;             defaults;   Apache-2.0;                                                                 2021-07-26
uptime;                             3.0.1;              pypi_0;                 pypi;       BSD License;                                                                2021-07-26
urllib3;                            1.26.6;             pypi_0;                 pypi;       MIT License;                                                                2021-07-26
wcwidth;                            0.2.5;              pypi_0;                 pypi;       MIT License;                                                                2021-07-26
webencodings;                       0.5.1;              pypi_0;                 pypi;       BSD License;                                                                2021-07-26
wheel;                              0.36.2;             pyhd3eb1b0_0;           defaults;   MIT;                                                                        2021-07-26
widgetsnbextension;                 3.5.1;              pypi_0;                 pypi;       BSD License;                                                                2021-07-26
wrapt;                              1.12.1;             pypi_0;                 pypi;       BSD License;                                                                2021-07-26
wxpython;                           4.1.1;              pypi_0;                 pypi;       wxWindows Library License (https://opensource.org/licenses/wxwindows.php);  2021-07-26
xlsxwriter;                         1.4.4;              pypi_0;                 pypi;       BSD License;                                                                2021-07-26
xz;                                 5.2.5;              h7b6447c_0;             defaults;   LGPL-2.1 and GPL-2.0;                                                       2021-07-26
zlib;                               1.2.11;             h7b6447c_3;             defaults;   zlib;                                                                       2021-07-26
