Name;                               Version;            Build;                  Channel;    License;                                                                    Latest license check
idna;                               2.10;               pyhd3eb1b0_0;           defaults;   BSD Like;                                                                   2021-02-02
imagesize;                          1.2.0;              pyhd3eb1b0_0;           defaults;   MIT;                                                                        2021-02-02
importlib-metadata;                 2.0.0;              py_1;                   defaults;   Apache-2.0;                                                                 2021-02-02
importlib_metadata;                 2.0.0;              1;                      defaults;   Apache-2.0;                                                                 2021-02-02
intel-openmp;                       2020.2;             254;                    defaults;   Intel proprietary;                                                          2021-02-02
ipykernel;                          5.3.4;              py38h5ca1d4c_0;         defaults;   BSD-3-Clause;                                                               2021-02-02
ipython;                            7.19.0;             py38hd4e2768_1;         defaults;   BSD-3-Clause;                                                               2021-02-02
ipython_genutils;                   0.2.0;              pyhd3eb1b0_1;           defaults;   3-Clause BSD;                                                               2021-02-02
ipywidgets;                         7.6.3;              pyhd3eb1b0_1;           defaults;   BSD 3-clause;                                                               2021-02-02
isort;                              5.7.0;              pypi_0;                 pypi;       MIT;                                                                        2021-02-02
jdcal;                              1.4.1;              pypi_0;                 pypi;       BSD;                                                                        2021-02-02
jedi;                               0.17.2;             py38haa95532_1;         defaults;   MIT;                                                                        2021-02-02
jinja2;                             2.11.2;             pyhd3eb1b0_0;           defaults;   BSD-3-Clause;                                                               2021-02-02
joblib;                             1.0.0;              pyhd3eb1b0_0;           defaults;   BSD;                                                                        2021-02-02
jpeg;                               9b;                 hb83a4c4_2;             defaults;   Custom free software license;                                               2021-02-02
jsonschema;                         3.2.0;              py_2;                   defaults;   MIT;                                                                        2021-02-02
jupyter;                            1.0.0;              py38_7;                 defaults;   BSD-3-Clause;                                                               2021-02-02
jupyter_client;                     6.1.7;              py_0;                   defaults;   BSD-3-Clause;                                                               2021-02-02
jupyter_console;                    6.2.0;              py_0;                   defaults;   BSD-3-Clause;                                                               2021-02-02
jupyter_core;                       4.7.0;              py38haa95532_0;         defaults;   BSD-3-Clause;                                                               2021-02-02
jupyterlab_pygments;                0.1.2;              py_0;                   defaults;   BSD-3-Clause;                                                               2021-02-02
jupyterlab_widgets;                 1.0.0;              pyhd3eb1b0_1;           defaults;   BSD-3-Clause;                                                               2021-02-02
kiwisolver;                         1.3.1;              pypi_0;                 pypi;       BSD;                                                                        2021-02-02
latexcodec;                         2.0.1;              pypi_0;                 pypi;       MIT License (MIT);                                                          2021-02-02
lazy-object-proxy;                  1.4.3;              pypi_0;                 pypi;       BSD License (BSD-2-Clause);                                                 2021-02-02
libarchive;                         3.4.2;              h5e25573_0;             defaults;   BSD-2-Clause;                                                               2021-02-02
libiconv;                           1.15;               h1df5818_7;             defaults;   GPL and LGPL;                                                               2021-02-02
libpng;                             1.6.37;             h2a8f88b_0;             defaults;   zlib/libpng;                                                                2021-02-02
libsodium;                          1.0.18;             h62dcd97_0;             defaults;   ISC;                                                                        2021-02-02
libtiff;                            4.1.0;              h56a325e_1;             defaults;   HPND;                                                                       2021-02-02
libxml2;                            2.9.10;             hb89e7f3_3;             defaults;   MIT;                                                                        2021-02-02
locket;                             0.2.1;              py38haa95532_1;         defaults;   \-;                                                                         2021-02-02
lxml;                               4.6.2;              pypi_0;                 pypi;       BSD License (BSD);                                                          2021-02-02
lz4-c;                              1.9.3;              h2bbff1b_0;             defaults;   BSD-2-Clause;                                                               2021-02-02
lzo;                                2.10;               he774522_2;             defaults;   GPL v2+;                                                                    2021-02-02
m2w64-gcc-libgfortran;              5.3.0;              6;                      defaults;   GPL, LGPL, FDL, custom;                                                     2021-02-02
m2w64-gcc-libs;                     5.3.0;              7;                      defaults;   GPL3+, partial:GCCRLE, partial:LGPL2+;                                      2021-02-02
m2w64-gcc-libs-core;                5.3.0;              7;                      defaults;   GPL3+, partial:GCCRLE, partial:LGPL2+;                                      2021-02-02
m2w64-gmp;                          6.1.0;              2;                      defaults;   LGPL3;                                                                      2021-02-02
m2w64-libwinpthread-git;            5.0.0.4634.697f757; 2;                      defaults;   MIT, BSD;                                                                   2021-02-02
markdown;                           3.3.3;              pypi_0;                 pypi;       BSD;                                                                        2021-02-02
markupsafe;                         1.1.1;              py38he774522_0;         defaults;   BSD-3-Clause;                                                               2021-02-02
matplotlib;                         3.3.4;              pypi_0;                 pypi;       Python Software Foundation License (PSF);                                   2021-02-02
mccabe;                             0.6.1;              pypi_0;                 pypi;       MIT License (Expat license);                                                2021-02-02
mdx-outline;                        1.3.0;              pypi_0;                 pypi;       BSD;                                                                        2021-02-02
menuinst;                           1.4.16;             py38he774522_1;         defaults;   BSD;                                                                        2021-02-02
